;Reduction factor on stress to correspond with utilisation factor η for B1 and B2 curves in seawater with cathodic protection;;;;;;;
Utilisation\Weibull;0.5;0.6;0.7;0.8;0.9;1;1.1;1.2
0.1;0.57;0.575;0.581;0.587;0.592;0.597;0.602;0.603
0.2;0.674;0.678;0.682;0.686;0.69;0.694;0.698;0.701
0.22;0.69;0.693;0.697;0.701;0.705;0.709;0.712;0.715
0.27;0.725;0.728;0.731;0.735;0.738;0.742;0.745;0.748
0.3;0.744;0.747;0.75;0.753;0.756;0.759;0.762;0.765
0.33;0.762;0.764;0.767;0.77;0.773;0.776;0.778;0.781
0.4;0.798;0.8;0.803;0.805;0.808;0.81;0.812;0.815
0.5;0.843;0.845;0.846;0.848;0.85;0.852;0.854;0.856
0.6;0.882;0.883;0.884;0.886;0.887;0.888;0.89;0.891
0.67;0.906;0.907;0.908;0.909;0.91;0.911;0.912;0.913
0.7;0.916;0.917;0.917;0.919;0.92;0.92;0.921;0.922
0.8;0.946;0.947;0.947;0.948;0.949;0.949;0.95;0.95
1;1;1;1;1;1;1;1;1
