;Reduction factor on stress to correspond with utilisation factor η for B1 and B2 curves in seawater with cathodic protection;;;;;;;
Utilisation\Weibull;0.5;0.6;0.7;0.8;0.9;1;1.1;1.2
0.1;0.583;0.593;0.602;0.61;0.617;0.621;0.625;0.627
0.2;0.684;0.691;0.699;0.705;0.711;0.715;0.718;0.72
0.22;0.699;0.706;0.714;0.72;0.725;0.729;0.732;0.735
0.27;0.733;0.74;0.746;0.752;0.757;0.76;0.763;0.766
0.3;0.751;0.758;0.764;0.769;0.773;0.777;0.78;0.782
0.33;0.768;0.774;0.78;0.785;0.789;0.792;0.795;0.792
0.4;0.804;0.809;0.814;0.818;0.822;0.825;0.827;0.829
0.5;0.848;0.851;0.855;0.858;0.861;0.864;0.866;0.867
0.6;0.885;0.888;0.891;0.893;0.896;0.897;0.899;0.9
0.67;0.909;0.911;0.913;0.915;0.917;0.919;0.92;0.921
0.7;0.918;0.92;0.922;0.924;0.926;0.927;0.928;0.929
0.8;0.948;0.949;0.95;0.952;0.953;0.954;0.955;0.955
1;1;1;1;1;1;1;1;1
