;Reduction factor on stress to correspond with utilisation factor η for B1 and B2 curves in seawater with cathodic protection;;;;;;;
Utilisation\Weibull;0.5;0.6;0.7;0.8;0.9;1;1.1;1.2
0.1;0.535;0.558;0.577;0.593;0.605;0.613;0.619;0.623
0.2;0.64;0.659;0.676;0.689;0.699;0.707;0.713;0.717
0.22;0.657;0.675;0.691;0.703;0.713;0.721;0.727;0.731
0.27;0.694;0.71;0.725;0.736;0.745;0.752;0.758;0.762
0.3;0.714;0.729;0.743;0.754;0.763;0.769;0.775;0.779
0.33;0.732;0.747;0.76;0.77;0.779;0.785;0.79;0.794
0.4;0.772;0.785;0.796;0.805;0.812;0.818;0.822;0.825
0.5;0.821;0.831;0.84;0.847;0.853;0.858;0.862;0.864
0.6;0.864;0.872;0.879;0.885;0.889;0.893;0.896;0.898
0.67;0.892;0.898;0.903;0.908;0.912;0.915;0.917;0.919
0.7;0.903;0.908;0.913;0.917;0.921;0.924;0.926;0.927
0.8;0.938;0.941;0.945;0.947;0.949;0.951;0.953;0.954
1;1;1;1;1;1;1;1;1
